Hora,Precio
1577836800,41.88
1577840400,38.6
1577844000,36.55
1577847600,32.32
1577851200,30.85
1577854800,30.14
1577858400,30.17
1577862000,30.0
1577865600,30.65
1577869200,30.65
1577872800,30.27
1577876400,30.34
1577880000,30.99
1577883600,30.04
1577887200,30.75
1577890800,32.11
1577894400,35.98
1577898000,40.4
1577901600,44.05
1577905200,46.16
1577908800,44.02
1577912400,45.6
1577916000,42.9
1577919600,37.55
1577923200,35.4
1577926800,31.98
1577930400,30.5
1577934000,28.79
1577937600,28.42
1577941200,28.75
1577944800,34.16
1577948400,42.07
1577952000,44.89
1577955600,45.26
1577959200,45.57
1577962800,45.09
1577966400,45.16
1577970000,44.9
1577973600,44.06
1577977200,43.94
1577980800,44.37
1577984400,46.05
1577988000,46.72
1577991600,46.11
1577995200,43.7
1577998800,42.0
1578002400,38.6
1578006000,33.39
1578009600,32.05
1578013200,30.75
1578016800,29.97
1578020400,29.8
1578024000,29.74
1578027600,29.87
1578031200,31.21
1578034800,36.73
1578038400,42.9
1578042000,46.0
1578045600,47.23
1578049200,46.03
1578052800,44.9
1578056400,44.44
1578060000,41.19
1578063600,39.5
1578067200,39.5
1578070800,43.51
1578074400,45.2
1578078000,46.9
1578081600,46.23
1578085200,44.5
1578088800,40.5
1578092400,39.5
1578096000,38.01
1578099600,32.05
1578103200,31.0
1578106800,30.2
1578110400,29.85
1578114000,29.84
1578117600,30.1
1578121200,30.75
1578124800,31.83
1578128400,36.67
1578132000,39.57
1578135600,36.11
1578139200,34.77
1578142800,32.07
1578146400,31.83
1578150000,31.95
1578153600,32.25
1578157200,41.81
1578160800,44.24
1578164400,44.0
1578168000,44.44
1578171600,44.43
1578175200,40.38
1578178800,37.95
1578182400,33.1
1578186000,32.28
1578189600,31.18
1578193200,30.1
1578196800,29.96
1578200400,29.88
1578204000,30.38
1578207600,31.15
1578211200,32.09
1578214800,34.27
1578218400,37.53
1578222000,38.99
1578225600,38.15
1578229200,35.37
1578232800,34.44
1578236400,36.1
1578240000,40.59
1578243600,44.68
1578247200,46.16
1578250800,48.53
1578254400,52.48
1578258000,53.29
1578261600,49.5
1578265200,46.01
1578268800,47.85
1578272400,41.48
1578276000,34.0
1578279600,31.92
1578283200,31.75
1578286800,31.5
1578290400,33.18
1578294000,43.13
1578297600,44.52
1578301200,44.96
1578304800,44.0
1578308400,42.46
1578312000,41.3
1578315600,40.51
1578319200,41.22
1578322800,43.28
1578326400,43.68
1578330000,47.9
1578333600,48.91
1578337200,49.01
1578340800,48.0
1578344400,48.0
1578348000,45.42
1578351600,44.01
1578355200,42.07
1578358800,36.49
1578362400,33.67
1578366000,33.01
1578369600,33.01
1578373200,36.07
1578376800,47.75
1578380400,53.68
1578384000,56.26
1578387600,54.87
1578391200,53.68
1578394800,52.17
1578398400,50.81
1578402000,50.31
1578405600,49.61
1578409200,48.44
1578412800,49.01
1578416400,49.77
1578420000,50.81
1578423600,51.9
1578427200,52.48
1578430800,51.0
1578434400,47.0
1578438000,44.43
1578441600,42.0
1578445200,37.48
1578448800,36.07
1578452400,34.41
1578456000,33.07
1578459600,36.11
1578463200,39.77
1578466800,48.42
1578470400,51.65
1578474000,52.6
1578477600,52.0
1578481200,50.81
1578484800,49.67
1578488400,49.17
1578492000,47.1
1578495600,46.33
1578499200,49.16
1578502800,53.53
1578506400,55.92
1578510000,55.09
1578513600,54.99
1578517200,53.67
1578520800,49.16
1578524400,45.17
1578528000,46.55
1578531600,38.01
1578535200,34.89
1578538800,33.7
1578542400,33.56
1578546000,34.0
1578549600,37.51
1578553200,48.45
1578556800,49.23
1578560400,51.49
1578564000,49.67
1578567600,48.33
1578571200,44.41
1578574800,44.9
1578578400,39.81
1578582000,39.0
1578585600,41.66
1578589200,46.89
1578592800,51.89
1578596400,52.98
1578600000,53.31
1578603600,52.05
1578607200,48.49
1578610800,40.16
1578614400,34.13
1578618000,32.7
1578621600,31.0
1578625200,27.98
1578628800,27.65
1578632400,29.38
1578636000,32.0
1578639600,43.66
1578643200,47.4
1578646800,48.73
1578650400,47.3
1578654000,44.2
1578657600,41.6
1578661200,38.01
1578664800,36.21
1578668400,36.27
1578672000,40.62
1578675600,47.3
1578679200,49.97
1578682800,50.01
1578686400,50.85
1578690000,49.89
1578693600,46.8
1578697200,40.0
1578700800,42.94
1578704400,37.2
1578708000,34.77
1578711600,34.18
1578715200,34.13
1578718800,34.18
1578722400,34.4
1578726000,34.51
1578729600,35.68
1578733200,40.0
1578736800,42.61
1578740400,40.01
1578744000,38.6
1578747600,38.97
1578751200,38.97
1578754800,36.84
1578758400,38.97
1578762000,44.0
1578765600,52.98
1578769200,55.4
1578772800,56.26
1578776400,55.87
1578780000,53.0
1578783600,49.67
1578787200,44.21
1578790800,41.69
1578794400,41.69
1578798000,38.6
1578801600,37.51
1578805200,37.03
1578808800,37.58
1578812400,38.01
1578816000,38.0
1578819600,38.07
1578823200,39.01
1578826800,38.08
1578830400,38.01
1578834000,38.43
1578837600,39.3
1578841200,37.43
1578844800,37.03
1578848400,39.01
1578852000,49.45
1578855600,52.98
1578859200,55.4
1578862800,55.98
1578866400,53.67
1578870000,50.46
1578873600,50.67
1578877200,49.19
1578880800,46.22
1578884400,42.0
1578888000,39.01
1578891600,42.0
1578895200,47.75
1578898800,50.69
1578902400,52.93
1578906000,52.6
1578909600,50.67
1578913200,49.73
1578916800,47.44
1578920400,47.01
1578924000,45.0
1578927600,42.97
1578931200,43.68
1578934800,46.81
1578938400,49.51
1578942000,50.0
1578945600,50.0
1578949200,47.11
1578952800,38.6
1578956400,34.1
1578960000,31.86
1578963600,30.53
1578967200,29.57
1578970800,29.53
1578974400,29.77
1578978000,30.47
1578981600,31.37
1578985200,40.01
1578988800,45.19
1578992400,46.47
1578996000,46.29
1578999600,44.49
1579003200,43.01
1579006800,41.25
1579010400,37.97
1579014000,36.01
1579017600,38.01
1579021200,41.51
1579024800,45.25
1579028400,46.55
1579032000,46.75
1579035600,45.09
1579039200,40.15
1579042800,31.17
1579046400,30.67
1579050000,29.0
1579053600,20.01
1579057200,17.5
1579060800,16.67
1579064400,25.0
1579068000,30.53
1579071600,38.53
1579075200,42.99
1579078800,43.52
1579082400,44.5
1579086000,44.02
1579089600,43.85
1579093200,43.01
1579096800,40.21
1579100400,41.25
1579104000,42.5
1579107600,45.0
1579111200,48.43
1579114800,52.8
1579118400,52.49
1579122000,48.1
1579125600,43.75
1579129200,38.5
1579132800,33.27
1579136400,31.18
1579140000,30.8
1579143600,29.9
1579147200,29.72
1579150800,31.1
1579154400,38.7
1579158000,45.42
1579161600,52.4
1579165200,47.0
1579168800,43.51
1579172400,42.1
1579176000,40.36
1579179600,40.08
1579183200,36.81
1579186800,32.49
1579190400,32.87
1579194000,40.84
1579197600,43.15
1579201200,43.2
1579204800,43.98
1579208400,43.15
1579212000,40.01
1579215600,32.68
1579219200,30.87
1579222800,29.48
1579226400,26.86
1579230000,25.71
1579233600,26.01
1579237200,27.97
1579240800,31.09
1579244400,40.25
1579248000,43.8
1579251600,43.19
1579255200,43.68
1579258800,42.72
1579262400,41.37
1579266000,39.98
1579269600,39.02
1579273200,39.11
1579276800,41.37
1579280400,43.98
1579284000,47.11
1579287600,49.73
1579291200,51.75
1579294800,50.3
1579298400,46.16
1579302000,44.01
1579305600,45.0
1579309200,42.14
1579312800,37.81
1579316400,37.2
1579320000,33.0
1579323600,32.05
1579327200,33.63
1579330800,37.2
1579334400,37.74
1579338000,38.92
1579341600,40.0
1579345200,39.3
1579348800,39.59
1579352400,37.86
1579356000,35.69
1579359600,35.69
1579363200,37.41
1579366800,41.3
1579370400,43.04
1579374000,41.91
1579377600,39.81
1579381200,39.19
1579384800,37.92
1579388400,35.69
1579392000,33.33
1579395600,30.98
1579399200,29.9
1579402800,28.79
1579406400,27.71
1579410000,27.26
1579413600,26.5
1579417200,25.8
1579420800,26.8
1579424400,28.51
1579428000,29.5
1579431600,29.4
1579435200,28.8
1579438800,29.4
1579442400,28.51
1579446000,28.3
1579449600,28.0
1579453200,28.28
1579456800,29.9
1579460400,35.0
1579464000,37.43
1579467600,36.74
1579471200,30.5
1579474800,29.01
1579478400,28.51
1579482000,25.5
1579485600,18.0
1579489200,14.0
1579492800,14.0
1579496400,21.01
1579500000,28.51
1579503600,37.21
1579507200,39.93
1579510800,43.01
1579514400,42.01
1579518000,39.85
1579521600,39.69
1579525200,39.98
1579528800,39.23
1579532400,38.93
1579536000,39.36
1579539600,39.85
1579543200,45.32
1579546800,50.7
1579550400,48.68
1579554000,44.35
1579557600,41.74
1579561200,37.69
1579564800,32.7
1579568400,31.0
1579572000,29.69
1579575600,28.4
1579579200,28.28
1579582800,29.01
1579586400,31.0
1579590000,40.0
1579593600,41.87
1579597200,42.67
1579600800,42.67
1579604400,42.01
1579608000,41.92
1579611600,42.45
1579615200,41.06
1579618800,41.04
1579622400,41.06
1579626000,41.6
1579629600,43.51
1579633200,50.0
1579636800,49.95
1579640400,46.03
1579644000,42.67
1579647600,37.92
1579651200,38.7
1579654800,36.67
1579658400,35.76
1579662000,33.85
1579665600,33.7
1579669200,35.04
1579672800,40.55
1579676400,49.26
1579680000,52.98
1579683600,53.69
1579687200,53.68
1579690800,52.48
1579694400,50.77
1579698000,49.97
1579701600,50.0
1579705200,52.4
1579708800,53.2
1579712400,55.08
1579716000,58.1
1579719600,59.58
1579723200,52.52
1579726800,49.26
1579730400,44.48
1579734000,42.79
1579737600,54.01
1579741200,50.0
1579744800,46.22
1579748400,45.97
1579752000,44.94
1579755600,46.16
1579759200,49.0
1579762800,58.74
1579766400,62.48
1579770000,60.98
1579773600,60.11
1579777200,57.42
1579780800,55.36
1579784400,53.68
1579788000,51.2
1579791600,53.54
1579795200,54.75
1579798800,55.87
1579802400,58.37
1579806000,60.4
1579809600,57.01
1579813200,56.7
1579816800,53.57
1579820400,48.42
1579824000,50.5
1579827600,46.0
1579831200,43.75
1579834800,42.04
1579838400,42.98
1579842000,44.51
1579845600,46.16
1579849200,57.34
1579852800,62.3
1579856400,62.0
1579860000,60.98
1579863600,58.84
1579867200,56.61
1579870800,53.29
1579874400,52.0
1579878000,53.06
1579881600,54.01
1579885200,57.08
1579888800,60.97
1579892400,59.97
1579896000,57.35
1579899600,59.01
1579903200,55.87
1579906800,52.32
1579910400,51.92
1579914000,49.57
1579917600,46.92
1579921200,45.99
1579924800,44.94
1579928400,44.94
1579932000,44.75
1579935600,41.96
1579939200,42.42
1579942800,44.97
